requirement,source,source_sha,implementation_path,activity_type,evidence_class,automated_status,human_gate,physical_gate,blocker,notes
digital_course_package,programs/seven_gc_apprenticeship.md,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/digital_rc/SEVEN_GC_APPRENTICESHIP/course.json,package,DIGITAL_REPRODUCTION,PASS,no,no,,COURSE_DIGITAL_RC emitted
taxonomy_maturity_digital_rc_present,canonical_track_registry.v1.json,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/taxonomy/canonical_track_registry.v1.json,taxonomy,DIGITAL_REPRODUCTION,PASS,no,no,,was program_shell_only
learner_packet,programs/seven_gc_apprenticeship.md,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/digital_rc/SEVEN_GC_APPRENTICESHIP/student/STUDENT_PACKET.md,learner,DIGITAL_REPRODUCTION,PASS,no,no,,
instructor_packet,programs/seven_gc_apprenticeship.md,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/digital_rc/SEVEN_GC_APPRENTICESHIP/instructor/INSTRUCTOR_PACKET.md,instructor,DIGITAL_REPRODUCTION,PASS,no,no,,
gunnchai_tutor_cards,gunnchAI3k waikeTutorCards.ts,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/digital_rc/SEVEN_GC_APPRENTICESHIP/gunnchai_tutor_cards.json,tutor_metadata,DIGITAL_REPRODUCTION,PASS,no,no,,live model not required
simulated_baseline_fixture,non-invention doctrine,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/digital_rc/SEVEN_GC_APPRENTICESHIP/fixtures/sgc_baseline/kpi_window.json,fixture,SIMULATED,PASS,no,no,,labeled SIMULATED
mentor_signoff,programs/seven_gc_apprenticeship.md,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,EXTERNAL_HUMAN_GATE,external_gate,HUMAN_REVIEW,EXTERNAL,yes,no,EXTERNAL_HUMAN_GATE,form/slot only
hardware_measurement,research overlay,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,EXTERNAL_PHYSICAL_GATE,external_gate,MEASURED_HARDWARE,EXTERNAL,no,yes,EXTERNAL_PHYSICAL_GATE,not digitally complete
field_pilot,research overlay,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,EXTERNAL_FIELD_GATE,external_gate,MEASURED_FIELD,EXTERNAL,yes,yes,EXTERNAL_FIELD_GATE,not digitally complete
lab_sgc_evidence_class,batch008 labs + program outline,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/digital_rc/SEVEN_GC_APPRENTICESHIP/labs/lab_sgc_evidence_class/README.md,lab,SIMULATED,PASS,no,no,,mode=LOCAL_SOFTWARE
lab_sgc_repo_recon,batch008 labs + program outline,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/digital_rc/SEVEN_GC_APPRENTICESHIP/labs/lab_sgc_repo_recon/README.md,lab,DIGITAL_REPRODUCTION,PASS,no,no,,mode=REPO_CONNECTED
lab_sgc_baseline_repro,batch008 labs + program outline,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/digital_rc/SEVEN_GC_APPRENTICESHIP/labs/lab_sgc_baseline_repro/README.md,lab,SIMULATED,PASS,no,no,,mode=LOCAL_SOFTWARE
lab_sgc_experiment_design,batch008 labs + program outline,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/digital_rc/SEVEN_GC_APPRENTICESHIP/labs/lab_sgc_experiment_design/README.md,lab,DIGITAL_REPRODUCTION,PASS,no,no,,mode=LOCAL_SOFTWARE
lab_sgc_controlled_sim,batch008 labs + program outline,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/digital_rc/SEVEN_GC_APPRENTICESHIP/labs/lab_sgc_controlled_sim/README.md,lab,SIMULATED,PASS,no,no,,mode=LOCAL_SOFTWARE
lab_sgc_analysis,batch008 labs + program outline,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/digital_rc/SEVEN_GC_APPRENTICESHIP/labs/lab_sgc_analysis/README.md,lab,SIMULATED,PASS,no,no,,mode=LOCAL_SOFTWARE
lab_sgc_claim_audit,batch008 labs + program outline,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/digital_rc/SEVEN_GC_APPRENTICESHIP/labs/lab_sgc_claim_audit/README.md,lab,DIGITAL_REPRODUCTION,PASS,no,no,,mode=LOCAL_SOFTWARE
lab_sgc_capstone_package,batch008 labs + program outline,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/digital_rc/SEVEN_GC_APPRENTICESHIP/labs/lab_sgc_capstone_package/README.md,lab,SIMULATED,PASS,no,no,,mode=LOCAL_SOFTWARE
lab_sgc_repro_handoff,batch008 labs + program outline,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/digital_rc/SEVEN_GC_APPRENTICESHIP/labs/lab_sgc_repro_handoff/README.md,lab,DIGITAL_REPRODUCTION,PASS,no,no,,mode=REPO_CONNECTED
lab_sgc_robustness,batch008 labs + program outline,e97e74fc9bfb44b1cdc26b272dc4848264f15fe0,curriculum/digital_rc/SEVEN_GC_APPRENTICESHIP/labs/lab_sgc_robustness/README.md,lab,SIMULATED,PASS,no,no,,mode=LOCAL_SOFTWARE
