issue_number,issue_title,url,priority,classification,artifact_required,current_evidence,missing_work,action_taken,files_changed,validation_command,closure_decision,close_now,fixes_in_pr,stay_open_reason
28,P2: Build WAIKE evaluation dashboard,https://github.com/gunnchOS3k/waike-research-ops/issues/28,p2,DONE_ON_BRANCH_NEEDS_PR_MERGE,evaluation/README.md,evaluation/README.md; results/evaluation/evaluation_dashboard.md,,implement_issue_completion.py,evaluation/README.md; results/evaluation/evaluation_dashboard.md,make validate-issue-completion,fixes_in_pr,False,True,
27,P2: Build multilingual localization plan,https://github.com/gunnchOS3k/waike-research-ops/issues/27,p2,DONE_ON_BRANCH_NEEDS_PR_MERGE,localization/README.md,localization/README.md; results/localization/localization_plan.md,,implement_issue_completion.py,localization/README.md; results/localization/localization_plan.md,make validate-issue-completion,fixes_in_pr,False,True,
26,P1: Build student portfolio requirements,https://github.com/gunnchOS3k/waike-research-ops/issues/26,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,portfolio/README.md,portfolio/README.md; results/portfolio/portfolio_requirements_index.md,,implement_issue_completion.py,portfolio/README.md; results/portfolio/portfolio_requirements_index.md,make validate-issue-completion,fixes_in_pr,False,True,
25,P1: Build instructor training model,https://github.com/gunnchOS3k/waike-research-ops/issues/25,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,instructor_training/README.md,instructor_training/README.md; results/instructor_training/instructor_training_packet.md,,implement_issue_completion.py,instructor_training/README.md; results/instructor_training/instructor_training_packet.md,make validate-issue-completion,fixes_in_pr,False,True,
24,P1: Build WAIKE capstone library,https://github.com/gunnchOS3k/waike-research-ops/issues/24,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,capstones/README.md,capstones/README.md; results/capstones/capstone_library_index.md,,implement_issue_completion.py,capstones/README.md; results/capstones/capstone_library_index.md,make validate-issue-completion,fixes_in_pr,False,True,
23,P1: Map cyber track to ISC2 CC/Security+,https://github.com/gunnchOS3k/waike-research-ops/issues/23,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/ISC2_CC_SECURITY_PLUS_mapping.md,standards_alignment/ISC2_CC_SECURITY_PLUS_mapping.md,,implement_issue_completion.py,standards_alignment/ISC2_CC_SECURITY_PLUS_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
22,P1: Map networking track to CCNA,https://github.com/gunnchOS3k/waike-research-ops/issues/22,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/Cisco_CCNA_mapping.md,standards_alignment/Cisco_CCNA_mapping.md,,implement_issue_completion.py,standards_alignment/Cisco_CCNA_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
21,P1: Map IT track to CompTIA A+,https://github.com/gunnchOS3k/waike-research-ops/issues/21,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/CompTIA_A_PLUS_mapping.md,standards_alignment/CompTIA_A_PLUS_mapping.md,,implement_issue_completion.py,standards_alignment/CompTIA_A_PLUS_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
20,P1: Map AI track to NIST AI RMF,https://github.com/gunnchOS3k/waike-research-ops/issues/20,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/NIST_AI_RMF_mapping.md,standards_alignment/NIST_AI_RMF_mapping.md,,implement_issue_completion.py,standards_alignment/NIST_AI_RMF_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
19,P1: Map software engineering to SWEBOK,https://github.com/gunnchOS3k/waike-research-ops/issues/19,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/SWEBOK_mapping.md,standards_alignment/SWEBOK_mapping.md,,implement_issue_completion.py,standards_alignment/SWEBOK_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
18,P1: Map digital skills to SFIA 9,https://github.com/gunnchOS3k/waike-research-ops/issues/18,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/SFIA_9_mapping.md,standards_alignment/SFIA_9_mapping.md,,implement_issue_completion.py,standards_alignment/SFIA_9_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
17,P1: Map cybersecurity to NIST NICE,https://github.com/gunnchOS3k/waike-research-ops/issues/17,p1,DONE_ON_BRANCH_NEEDS_PR_MERGE,standards_alignment/NIST_NICE_mapping.md,standards_alignment/NIST_NICE_mapping.md,,implement_issue_completion.py,standards_alignment/NIST_NICE_mapping.md,make validate-issue-completion,fixes_in_pr,False,True,
